country,iso-code,list-code,structure/0,structure/1,structure/2,list type,name/en,name/local,url,description,access/availableOnline,access/exampleIdentifiers,access/onlineAccessDetails,access/guidanceOnLocatingIds
Serbia,RS,RS-APR,company,,,primary,Serbian Business Registrations Agency (APR),Агенција за привредне регистре (АПР),http://www.apr.gov.rs/eng/Home.aspx,"The SBRA runs business registers as single, centralized, public electronic databases. The Business Entities Register began operating on 1 January 2005 whereby a new administrative registration procedure replaced the former company registration with the court.  ",TRUE,7462905,Business entities can be searched by their registration number or legal name. The search is in Serbian only and free of charge.,Registration number is under `Матични број` column.
Serbia,RS,RS-PIB,company,,,secondary,Tax identification number,Poreski identifikacioni broj,http://www.poreskauprava.gov.rs/pib.html,"Ordinary taxpayer registration numbers start from the number 10000001 and end with the number 99999999. The PIB is determined so that the first eight digits are the regular registration number of the taxpayer, and the last digit is the control number ",TRUE,100000709,"There is a simple form to enter taxpayer's PIB number to acess information from PIB registry (in Serbian, free of charge). English interface of the website does not allow to search the registry."," Registration number will be under `МБР` header, PIB - under `ПИБ` header."
Israel,IL,IL-ROC,company,,,primary,The Registrar of Companies (ROC),רשות תאגידים,http://havarot.justice.gov.il/,"The register is maintained by the Israeli Corporations Authority and can be searched using part or all of a company name in English or Hebrew, or by entering the company number. The search interface and the results are in Hebrew. Free information on a company includes type of company, address, legal status and purpose of the company. Additional information such as details of directors, total authorized capital, division of share capital, shareholders, charges and liabilities is priced.",TRUE,510230055,"Companies can be searched by their number or legal name. Information provided includes total debts, status of a lawbreaking society, company status, type of corporation, name (English and Hebrew), and company number. Their is no English interface, search is free of charge.",Registration number will be under `מספר` header.
Czech Republic,CZ,CZ-ICO,company,,,primary,Access to Registers of Economic Subjects / Entities (ARES),Administrativní registr ekonomických subjektů,http://wwwinfo.mfcr.cz/ares/ares_es.html.en,"ARES allows to search information about a company in Commercial Register, Statistical Register, Trade Register, Central Register of State Subsidies, and Register of VAT Payers. ",TRUE,25111299,"Information about company's registration number, legal name, and registration address is available in English and free of charge. Further information can be also obtained for free by visiting pages of other registers (links are provided in the section 'References')",Registration number will be under `Reg. No` header.
Czech Republic,CZ,CZ-DIC,company,,,secondary,VAT number,Daňové identifikační číslo,http://www.kurzy.cz/dic/,You can search a company by its DIČ number.,TRUE,CZ25111299,DIČ number can be validated by entering it in the `Vyhledávání v registru plátců DPH` section and then clicking `Vyhledat registraci`. Search results will provide company details,DIČ number will be under `DIČ` header
Estonia,EE,EE-RIK,company,,,primary,Centre of Registers and Information Systems (RIK),Registrite ja Infosüsteemide Keskus,http://www.rik.ee/en/e-business-register,"Central Commercial Register is an online service based on the central database of Estonian registration department of the court. The central database includes digital data from the commercial register, the commercial pledge register, the register of state agencies and local government institutions, the register of non-profit associations and foundations. ",TRUE,10345833,"Company can be searched by name, registry code or VAT number. Search results provide company's business name, invalid names, code, the date of first entry, status, address, webpage, share capital, and proceedings information.There is English interface, search is free of charge. Paid users can get more advanced info.",Company's registration code is under 'code' header.
Estonia,EE,EE-KMKR,company,,,secondary,VAT No.,Käibemaksukohustuslase number,http://www.rik.ee/en/e-business-register,"Central Commercial Register is an online service based on the central database of Estonian registration department of the court. The central database includes digital data from the commercial register, the commercial pledge register, the register of state agencies and local government institutions, the register of non-profit associations and foundations. ",TRUE,EE100132742,"To view company's VAT number, enter its name or registry code. Search results provide company details, and there is a hyperlink on the company's name to click on. There is English interface, search is free of charge. Paid users can get more advanced info.",Tax number can be found in `Info about person liable to value added tax` section
Latvia,LV,LV-RE,company,,,primary,Register of Enterprises of The Republic of Latvia,Latvijas Republikas Uzņēmumu reģistrs (UR),http://dati.ur.gov.lv/register/,Free of charge information includes type of legal entity; registered office; new or current name or trade name and previously registered or historical name or trade name; registration number; Single Euro Payment Area beneficiary identification code (if allocated); registration date; date of deletion of the legal entity from the register (or the date of reorganisation if the reason for the deletion is a reorganisation); deadline for registration of religious organisations that are subject to re-registration.,TRUE,,,
Latvia,LV,LV-PVN,company,,,secondary,VAT number,Pievienotās vērtības nodokļa (PVN) reģistrācijas numurs,http://dati.ur.gov.lv/register/,,TRUE,,,
Germany,DE,DE-CRP,company,,,primary,Common Register Portal of the German Federal States (CRP),Gemeinsames Registerportal der Länder,https://www.handelsregister.de/rp_web/welcome.do,"Common register portal of the German federal states provides  the registers of companies, cooperatives and partnerships and, to some extent, also of associations registered in all federal states in Germany as well as announcements for the register (publications).",TRUE,,"Without registration, one may find out about the company's legal name, registered office, and status. Any further information can be obtained upon registration. Retrieving published information is free of charge, any other is subject to a fee. There is English, French, Italian, and Spanish interface.",
Germany,DE,DE-USTID,company,,,secondary,VAT number,Umsatzsteuer-Identifikationsnummer,https://www.handelsregister.de/rp_web/welcome.do,"Common register portal of the German federal states provides  the registers of companies, cooperatives and partnerships and, to some extent, also of associations registered in all federal states in Germany as well as announcements for the register (publications).",TRUE,,"Without registration, one may find out about the company's legal name, registered office, and status. Any further information can be obtained upon registration. Retrieving published information is free of charge, any other is subject to a fee. There is English, French, Italian, and Spanish interface.",
"Cyprus
",CY,CY-DRCOR,company,,,primary,"Cyprus Department of Registrar of Companies and Official Receiver (DRCOR)
",Şirketler Mukayyidi ve Resmi Sendik Dairesi,https://efiling.drcor.mcit.gov.cy/DrcorPublic/Default.aspx?cultureInfo=en-AU,"Department of Registrar of Companies and Official Receiver maintains the register of companies, partnerships, business names, and overseas companies.",TRUE,12032,"Company can be searched by its name or registration number. Search results show the company's name, registration number, type, name status, and organisation status. There is English, Greek, and Turkish interface.",Company registration number can be found under `Reg. Number` header
Spain,ES,ES-RMC,company,,,primary,Commercial Register of the Kingdom of Spain,El Registro Mercantil Central,http://www.rmc.es/Home.aspx,"The Central Mercantile Register (1) provides the access to the companies information supplied by the Regional Mercantile Registers after the 1 January 1990, once the data has been organized and processed in accordance with Section 379 of the Mercantile Register Regulations currently in effect.",TRUE,,The Central Mercantile Register offers two methods of obtaining information about registered companies and/or company names: TRUE) USERS WITHOUT AGREEMENT. - They should pay the corresponding legal tax by credit card. 2) USERS WITH AGREEMENT.- They must use the password assigned by the Central Mercantile Register after the Agreement has been signed.,
Spain,ES,"
ES-CIF",company,,,secondary,TAX ID,Código de Identificación Fiscal,http://www.rmc.es/Home.aspx,"The Central Mercantile Register (1) provides the access to the companies information supplied by the Regional Mercantile Registers after the 1 January 1990, once the data has been organized and processed in accordance with Section 379 of the Mercantile Register Regulations currently in effect.",TRUE,,The Central Mercantile Register offers two methods of obtaining information about registered companies and/or company names: TRUE) USERS WITHOUT AGREEMENT. - They should pay the corresponding legal tax by credit card. 2) USERS WITH AGREEMENT.- They must use the password assigned by the Central Mercantile Register after the Agreement has been signed.,
Italy,IT,IT-RI,company,,,primary,The business register of the Italian Chambers of Commerce,I dati ufficiali delle Camere di Commercio,http://www.registroimprese.it/en/web/guest/home,"The Italian Business Register can be defined as the register of company details: it in fact contains information (incorporation, amendments, cessation of trading) for all companies with any legal status and within any sector of economic activity, with headquarters or local branches within the country, as well as any other subjects as required by law. The Business Register contains all the main information relating to companies (name, statute, management, headquarters, etc.) and all the subsequent events that have occurred to them after registration (for example changes to the statute and to company officers, changes in registered address, liquidation, insolvency proceedings, etc.)",TRUE,,"Company can be searched by its name or registration number. Free-of-charge information contains company name, address, legal form, and description of activities in Italian. Any further info can be purchased.",
Italy,IT,IT-PIVA,company,,,secondary,VAT Number,Partita IVA,http://www.registroimprese.it/en/web/guest/home,"The Italian Business Register can be defined as the register of company details: it in fact contains information (incorporation, amendments, cessation of trading) for all companies with any legal status and within any sector of economic activity, with headquarters or local branches within the country, as well as any other subjects as required by law. The Business Register contains all the main information relating to companies (name, statute, management, headquarters, etc.) and all the subsequent events that have occurred to them after registration (for example changes to the statute and to company officers, changes in registered address, liquidation, insolvency proceedings, etc.)",TRUE,,"Company can be searched by its name or registration number. Free-of-charge information contains company name, address, legal form, and description of activities in Italian. Any further info can be purchased.",
